dt,x,y,position,velocity,acceleration,jerk,heading
0.25,13.199999999358681,41.09259259323392,0.0,0.0,0.0,0.0,6.283167400225472
0.25,13.237020349159845,41.0925994272377,0.03702035043194699,0.14808140172778797,0.5923256069111519,2.3693024276446075,0.0003553564340076122
0.25,13.35366303533164,41.09270982640593,0.15366308884865393,0.46657095366682777,1.2739582077561593,2.7265304033800297,0.0014658459577073304
0.25,13.586933521696137,41.09332934269671,0.3869343978627785,0.9330852360564984,1.8660571295586825,2.368395687210093,0.003644944004084598
0.25,13.97567450104117,41.09550926449891,0.7756814892746607,1.554988365647529,2.4876125183641222,2.486221555221759,0.007152535066932322
0.25,14.519824852754414,41.10085819081761,1.3198581299736267,2.176706562795864,2.48687278859334,-0.0029589190831291745,0.01180183179275724
0.25,15.219307871104647,41.1114040504772,2.0194206419168492,2.7982500477728895,2.4861739399081024,-0.00279539474095003,0.017330661497037804
0.25,16.074043334103457,41.12937240727492,2.87434495058622,3.419697234677483,2.4857887476183738,-0.0015407691589146566,0.02340116694190491
0.25,17.083966211513555,41.1569056359253,3.8846430734174,4.041192491324719,2.485981026588945,0.0007691158822851207,0.029599795293921448
0.25,18.249052034009953,41.19572699829545,5.050375492096053,4.662929674714611,2.4869487335595686,0.0038708278824941544,0.035437618190068354
0.25,19.529439802609296,41.24512560417768,6.331715829493543,5.12536134958996,1.849726699501396,-2.5488881362326907,0.04022885910483627
0.25,20.847594281158013,41.30101305479501,7.651054541293718,5.277354847200698,0.6079739904429502,-4.967010836233783,0.04338398045187791
0.25,22.125994135940747,41.35779382608926,8.930714748027242,5.1186408269340955,-0.6348560810664097,-4.9713202860374395,0.044721913984817944
0.25,23.28703994148699,41.40969356367084,10.09291995595636,4.648820831716473,-1.8792799808704892,-4.977695599216318,0.04446855772063466
0.25,24.29294011412761,41.45361570964877,11.09977859162759,4.027434542684925,-2.485545156126193,-2.425060701022815,0.043119642744753967
0.25,25.14361620399766,41.4891939658859,11.951198360128105,3.405679074002061,-2.4870218747314556,-0.005906874421050645,0.04116101164413251
0.25,25.838977001329017,41.51674990439047,12.647104940217824,2.7836263203588762,-2.488211014572739,-0.004756559365134194,0.03900351292084478
0.25,26.378939559535596,41.536969666232466,13.1874459464666,2.1613640249951045,-2.489049181455087,-0.00335266752939134,0.03698302198739421
0.25,26.7645158415655,41.550682819734206,13.573266007949886,1.5432802459331492,-2.4723351162478213,0.06685626082906282,0.03535562409396323
0.25,26.995662457479487,41.5585869421839,13.804547726207485,0.9251268730303949,-2.472613491611017,-0.0011135014527834386,0.03430629765044428
