dt,x,y,position,velocity,acceleration,jerk,heading
0.25,13.2,49.092592592592595,0.0,0.0,0.0,0.0,6.283167400225472
0.25,13.237020601716234,49.09259917468131,0.03888226181339852,0.3110580945071882,1.2442323780287528,4.976929512115011,0.0003553564340076122
0.25,13.353667332739615,49.09270552899795,0.1555290472535941,0.6221161890143764,1.2442323780287528,0.0,0.0014658459577073304
0.25,13.586960092900306,49.093302771492546,0.3888226181339852,1.2442323780287528,2.4884647560575055,4.976929512115011,0.003644944004084598
0.25,13.975776818120734,49.09540694741934,0.7776452362679704,1.8663485670431292,2.488464756057506,1.7763568394002505e-15,0.007152535066932322
0.25,14.520103415988455,49.10057962758357,1.3219969016555497,2.4884647560575055,2.488464756057505,-3.552713678800501e-15,0.01180183179275724
0.25,15.219908559725443,49.1108033618564,2.021877614296723,3.110580945071882,2.488464756057507,7.105427357601002e-15,0.017330661497037804
0.25,16.075138513352563,49.128277228025816,2.877287374191491,3.7326971340862585,2.488464756057505,-7.105427357601002e-15,0.02340116694190491
0.25,17.08571837934099,49.155153468097865,3.888226181339853,4.354813323100635,2.488464756057507,7.105427357601002e-15,0.029599795293921448
0.25,18.25156342073761,49.19321561156779,5.054694035741809,4.976929512115011,2.4884647560575033,-1.4210854715202004e-14,0.035437618190068354
0.25,19.532676088327154,49.241889318459826,6.336732236283832,5.279376092221174,1.2097863204246515,-5.114713742531407,0.04022885910483627
0.25,20.851358030287585,49.29724930566543,7.656576259339126,5.279376092221174,0.0,-4.839145281698606,0.04338398045187791
0.25,22.129993568466396,49.353794393563604,8.936461581280891,4.959706483312958,-1.2786784356328624,-5.11471374253145,0.044721913984817944
0.25,23.29099419506164,49.405739310096195,10.098623678482333,4.337590294298582,-2.488464756057507,-4.839145281698578,0.04446855772063466
0.25,24.296658145175883,49.4498976786005,11.10525672843018,3.7154741052842053,-2.488464756057505,7.105427357601002e-15,0.043119642744753967
0.25,25.147004183381895,49.48580598650167,11.956360731124436,3.093357916269829,-2.488464756057505,0.0,0.04116101164413251
0.25,25.84201916367647,49.513707742043024,12.651935686565096,2.4712417272554528,-2.488464756057505,0.0,0.03900351292084478
0.25,26.381674735593215,49.534234490174846,13.191981594752162,1.849125538241076,-2.488464756057507,-7.105427357601002e-15,0.03698302198739421
0.25,26.767015621461436,49.54818303983827,13.577574894985762,1.2356208636277264,-2.4540186984533987,0.1377842304164325,0.03535562409396323
0.25,26.998016070747916,49.55623332891547,13.808715587265898,0.6135046746133498,-2.4884647560575064,-0.13778423041643073,0.03430629765044428
